Gemini,Gpt,Llama,Core,GeminiContent,GptContent,LlamaContent,Tweet
Notr,Notr,Notr,Notr,"**0**

The tweet states a factual statement about the initial production of the aircraft. There are no emotional cues to indicate positivity or negativity. 
",0 The sentiment of the tweet is neutral. It simply states a fact without expressing any positive or negative emotion.,"**0** (Neutral)

The sentiment of this tweet is neutral because it is a factual statement about the production of a plane's prototypes. The language used is objective and lacks emotional tone, making it a neutral expression.",Başlangıçta uçağın sadece birkaç adet prototipi üretildi .
Positive,Positive,Positive,Positive,"**+1**

The tweet expresses positive sentiment. The user is happy with the delivery time, packaging, and value for money of the product. They also recommend it to others. 
","+1 
The sentiment of the tweet is positive. The user is praising the prompt delivery, careful packaging, and high cost-effectiveness of the product. They believe it is the best quality product that can be purchased at that price point and highly recommend it.","**+1**

The sentiment of this tweet is overwhelmingly positive. The user mentions that the product arrived on time, was carefully packaged, and has an excellent performance-to-price ratio. They also explicitly state that it is the best product at this price and would definitely recommend it. The tone of the tweet is enthusiastic and optimistic, with no negative comments or criticism.","siparisim söz verildiği tarihte elime ulasti, ayrica paketleme de özenliydi. cihazin verimlilik/fiyat orani cok yuksek. bu fiyata alinabilecek en kalitelisi olduğunu düşünüyorum. kesinlikle önerilir."
Notr,Positive,Notr,Negative,"**0**

The tweet is neutral. The user is simply stating facts about the product, describing its positive features (good appearance, good sound, two HDMI ports) without expressing any personal opinion or sentiment. 
","+1
The sentiment of the tweet is positive. The user mentions the positive aspects of the product such as its good appearance, good sound quality, and the fact that it has 2 HDMI ports, indicating satisfaction with the features.","**0** (neutral)

The tweet expresses a neutral sentiment because it is a factual statement about the technical specifications of a product (HD visibility and sound quality). The words used are neutral and do not convey any emotional tone, making it a neutral statement.","+ yanları: görünümü gayet güzel, ses çok iyi, 2 hdmi olması iyi"
Positive,Positive,Positive,Positive,"**+1**

The tweet expresses positive sentiment about the film. The user enjoyed the movie, finding it engaging and praising the portrayal of love, determination, and the geishas. The score of 8/10 further indicates positive sentiment. 
","+1 

The sentiment of the tweet is positive. The user enjoyed the movie, finding it pleasant and interesting. They highlight the love and determination portrayed in the film, as well as the unique and appealing aspect of the geishas. The user concludes by saying it was well done, giving it a rating of 8 out of 10.","**Score: +1**

The sentiment of this tweet is overwhelmingly positive. The user expresses enthusiasm and enjoyment while watching the film, stating that they ""hoştu"" (loved it), and found the plot twist interesting and engaging. They also praise the film's beautiful conclusion with an 8/10 rating. The tone is enthusiastic and encouraging, with no negative language or criticism, hence the +1 score.", Film çok hoştu. Sıkılmadan zevkle aşkı ve azmi izledim. İlk başlardan sıradan gibi gelsede geyşalar çok farklı ve çekici geldi. Güzel olmuş. 8/10 
Positive,Positive,Positive,Positive,"**+1** 

This tweet is highly positive. The words ""super"", ""saglam"" (meaning robust or strong), and ""kolay"" (meaning easy) all suggest a very positive experience with the product. ""Siddetle tavsiye edilir"" translates to ""highly recommended"", further reinforcing the positive sentiment. 
","**+1** This tweet has a positive sentiment. The user is praising the design, functionality, and ease of use of something and strongly recommends it.","**+1**

The sentiment of this tweet is positive. The words ""super"", ""saglam"", and ""kolay"" convey a sense of excellence, strength, and ease of use, respectively. The phrase ""siddetle tavsiye edilir"" which translates to ""strongly recommended"" further reinforces the positive sentiment. Overall, the tweet expresses a strong endorsement of the product or service being referred to.","super tasarim, saglam, kolay kullanim siddetle tavsiye edilir"
Positive,Positive,Positive,Positive,"**+1** This tweet expresses positive sentiment. The words ""hızlı kargo"" (fast shipping) and ""orijinal ürün"" (original product) indicate satisfaction with the purchase. ""Teşekkürler"" (thank you) further reinforces the positive sentiment. 
","+1 

This tweet expresses positive sentiment. The user is pleased with the fast delivery of the original product and expresses thanks, indicating a positive experience.","**+1**

The sentiment of this tweet is overwhelmingly positive. The phrase ""teşekkürler"" means ""thank you"" in Turkish, indicating that the speaker is expressing gratitude, which is a positive emotion. Additionally, the phrase ""orijinal ürün"" (original product) suggests that the speaker is pleased with the authenticity of the product, which reinforces the positive sentiment. The overall tone is one of satisfaction and appreciation, warranting a sentiment score of **+1**.",hızlı kargo orijinal ürün. teşekkürler
Negative,Negative,Negative,Negative,"**-1** 

The tweet expresses strong negativity towards the film.  The phrase ""bir çizgifilm konusu kadar basit olmuş"" (it was as simple as a cartoon plot) indicates a lack of depth and complexity. ""Konudan konuya atlamışlar üstelik sırf filmi uzatmak için"" (They jumped from topic to topic just to make the movie longer) highlights a perceived lack of coherence and a manipulative approach. The concluding ""Zaman kaybı..."" (waste of time) leaves no room for doubt about the overall negative sentiment. 
","-1
The tweet expresses a negative sentiment towards the simplicity and lack of depth in a movie plot, criticizing the filmmakers for jumping from one topic to another just to prolong the film unnecessarily. The phrase ""Zaman kaybı..."" (Time waste...) further emphasizes the disappointment with the overall experience.","**Score: -1**

The sentiment of the tweet is negative. The tweeter expresses disappointment and frustration with the simplicity of the story, stating that it's ""as simple as a cartoon movie"" and that the filmmakers have jumped from one topic to another just to stretch the plot to make the movie longer. The use of the phrase ""Zaman kaybı"" (time waste) also emphasizes the negative sentiment, indicating that the tweeter feels they have wasted their time watching the movie. Overall, the tone is critical and dissatisfied.", bir çizgifilm konusu kadar basit olmuş. Konudan konuya atlamışlar üstelik sırf filmi uzatmak için.Zaman kaybı... 
Notr,Notr,Negative,Notr,"**0**

The tweet is neutral. It simply states that it is difficult to explain the formation of Yarma vadileri (likely a geographical feature), without expressing any opinion or emotion. 
","0

This tweet is neutral as it simply states that explaining the formation of vanture valleys is difficult without expressing any clear positive or negative emotion.","**-1**

The sentiment of this tweet is negative. The phrase ""zordur"" is a Turkish word that means ""it is difficult"" or ""it is hard"", which implies a sense of challenge or struggle. Additionally, the phrase ""Yarma vadilerin oluşumunu açıklamak"" suggests a lack of understanding or clarity about the formation of certain things, which can also be interpreted as a negative sentiment. Overall, the tweet expresses frustration or difficulty in explaining or understanding something, which is a negative sentiment.",Yarma vadilerin oluşumunu açıklamak zordur .
Notr,Notr,Notr,Notr,"**0** 

The tweet is neutral. It states a fact about the European Parliament's rights, without expressing any opinion or emotion. 
","0 
This tweet is neutral as it simply states a fact without expressing any strong positive or negative sentiment.","**0** (neutral)

The sentiment of this tweet is neutral because it is stating a fact or a observation about the European Parliament's role in making informed decisions, without expressing any emotion or opinion. The tone is objective and informative, neither praising nor criticizing the European Parliament.",Ayrıca Avrupa Parlamentosu bazı hallerde uygun görüş belirtmek hakkını kazanmaktadır .
Negative,Negative,Negative,Negative,"**-1** 

The tweet expresses strong negative sentiment. The user is unhappy with the phone's camera quality, lack of rear camera functionality during video calls, and poor performance in low light. They explicitly state they would not recommend the phone and are returning it, indicating dissatisfaction with the product. 
","-1
The sentiment of the tweet is negative. The user is expressing dissatisfaction with the phone's design and functionality, particularly with the rear camera not showing during video calls and the poor quality of evening photos. They also mention returning the phone and waiting for a refund, indicating their disappointment with the product.","**-1**

The sentiment of this tweet is negative. Although the user mentions some positive aspects of the phone's design and camera resolution (13MP), they express disappointment and frustration with the phone's performance in video calls and taking photos. The user also mentions that they will not recommend the phone to others and plans to return it, which further reinforces the negative sentiment.",telofon tasarım olarak güzel arka kamerası 13 mp hiç alakası yok görüntülü konuşurken arka kamera hiç göstermiyor. akşam fotoğraf iyi çekmiyor kimseye tavsiye etmem ben iadeye gönderdim hepsiburada.com. dan paramın iade edilmesini bekliyorum.
Negative,Notr,Negative,Notr,"**-1** 

The tweet describes a character named Kenny who dies frequently and is eaten by rats. This scenario implies a negative sentiment as it involves repeated death and an unpleasant fate. 
",0 The sentiment of the tweet is neutral. It describes a character named Kenny who dies in almost every episode and is eaten by mice when he dies. The tone is matter-of-fact rather than expressing a positive or negative emotion.,"**-1**

The tweet appears to be negative because it is describing a character named Kenny who consistently dies in every episode and is eaten by ants when he dies, which is an unfortunate and unpleasant situation.",Kenny hemen hemen her bölümde ölür ve öldüğü zaman fareler tarafından yenir .
Negative,Notr,Notr,Notr,"**-1** 

The tweet is negative because it mentions the Soviet Union's opposition to a union. The phrase ""karşı çıktı"" translates to ""opposed,"" indicating a negative sentiment. 
","0 
This tweet is neutral as it simply states a historical fact without expressing a positive or negative opinion.","**0**

This tweet is neutral. The sentence simply states a historical fact about the Soviet Union opposing a union or merger, without expressing a positive or negative emotion. The tone is informative and objective, without any emotional connotation.",Sovyetler Birliği ise bu birleşmeye karşı çıktı .
Negative,Notr,Negative,Notr,"**-1** 

The tweet expresses a sentiment of anger and revenge against the British. The phrase ""intikam alacak"" (to take revenge) clearly indicates a negative sentiment. 
",0 The tweet is neutral as it simply states a historical fact without expressing any positive or negative emotion.,"**-1**

The sentiment of this tweet is negative. The mention of ""intikam"" (revenge) and the implication of taking action against the British suggests a tone of hostility and anger, indicating a negative sentiment.",Enver Paşa hayatının bir dönemini İngilizlerden intikam alacak bir İslam imparatorluğunun tesisine adadı .
Notr,Notr,Notr,Notr,"**0** 

The tweet is a question in Turkish, ""How is history written then?"". It doesn't express any positive or negative sentiment, making it neutral. 
","0 
This tweet is neutral as it is simply asking a question about how history is written.","**0**

The sentiment of this tweet is neutral because it is an inquiry or a question about the way history is written, without expressing any emotional tone, opinion, or subjective judgment.",O halde tarih nasıl yazılır?
Notr,Notr,Notr,Notr,"**0** 

The tweet is a factual statement about dolphins being social creatures. It does not express any opinion or sentiment, making it neutral. 
",0 This tweet is neutral as it simply states a fact about the social life of a dolphin species.,"**0** (neutral)

The tweet states that the Bu yunus type has a social life, which is a factual statement without any emotional connotation. The language used is matter-of-fact and neutral, making it neither positive nor negative.",Bu yunus türü sosyal bir yaşama sahiptir .
Positive,Positive,Positive,Positive,"**+1** The tweet expresses positive sentiment. The user states that the thermos is ""sufficient and quite useful,"" indicating satisfaction with the product. The phrase ""test edildi onaylandı"" (tested and approved) further reinforces the positive sentiment. 
","+1

The tweet expresses positive sentiment towards the thermos, stating that it is sufficient and quite useful. The fact that it was tested and approved further reinforces the positive sentiment.","**Score: +1**

The sentiment of this tweet is positive. The phrase ""japon müslümanlar için"" is not present, which removes any potential cultural bias. The tweet is mentioning the reliability and usability of the thermos, saying it's ""yeterli"" (enough/sufficient) and ""gayet kullanışlı"" (pretty useful/practical). The phrase ""test edildi onaylandı"" implies that the product was tested and approved, which further amplifies the positive sentiment.",çaylar ile birlikte gelen termos yeterli ve gayet kullanışlı. test edildi onaylandı.
Positive,Positive,Positive,Positive,"**+1** 

The tweet expresses positive sentiment about the product. The user describes it as ""very useful"" and mentions it bakes cakes, pastries, and cookies ""very nicely."" The smiley face at the end also reinforces a positive tone. 
","+1 
The sentiment of the tweet is positive. The user is expressing satisfaction with the product and recommending it for baking cakes, pastries, and cookies. The use of smiley face emoticon reinforces the positive sentiment.","**+1**

The sentiment of this tweet is overwhelmingly positive. The user starts by saying that the product is ""gayet kullanışlı"" which means it's very useful, setting a positive tone. They then mention that it can cook various pastries (kek, börek, kurabiye) ""çok güzel"" which means very good or beautifully. The user also takes comfort in ordering more from the merchant with ""gönül rahatlığıyla"" which translates to ""with a clear conscience"" implying that they trust the product and the company. The :) at the end of the tweet is a common emoticon used to convey happiness or positivity. Overall, the tone of the tweet is enthusiastic and recommends the product.","Ürün gayet kullanışlı, kek, börek, kurabiye hepsini çok güzel pişiriyor gönül rahatlığıyla sipariş verebilirsiniz :)"
Negative,Negative,Positive,Positive,"**-1** 

The tweet is negative because it uses exclamation points and all-caps to emphasize the urgency and scarcity of the deal. This suggests a sense of pressure and manipulation, which can be perceived as negative by potential customers. 
","-1 
The sentiment of the tweet is negative. The user is implying that despite being abroad, the price of these headphones cannot be found in Turkey and is urging people to take advantage of the current discount.","**Sentiment Score: +1**

The sentiment of this tweet is positive. The language used is encouraging and luring, with expressions like ""hazıır indirimdeyken (while it's on sale)"" and ""kaçırmayın (don't miss out)"", which create a sense of urgency and excitement. The tweet is also comparative, stating that ""turkiyede bu fiyata bu kulaklığı bulamassınız (you won't find this price in Turkey)"", emphasizing the uniqueness and value of the offer. Overall, the tone is enthusiastic and inviting, designed to persuade the audience to take advantage of the discount.",yurtdışında olabilir ama türkiyede bu fiyata bu kulaklığı bulamassınız hazır indirimdeyken kaçırmayın !!!1!
Positive,Positive,Notr,Positive,"**+1**

The tweet expresses positive sentiment about a product. The user describes it as ""nice"", ""soft"", and mentions that it doesn't leave fingerprints and doesn't compromise image quality. These are all positive attributes. 
","+1
The sentiment of the tweet is positive. The user is satisfied with the product, mentioning that it has a soft touch feeling, leaves no fingerprints, and has good display quality without any loss.","**0** (neutral)

The sentiment of this tweet is neutral because the language used is primarily descriptive and objective. The user is sharing their positive experience with a product, stating that it is ""gayet güzel"" (very good), has a soft and pleasant texture, and leaves no fingerprints. They also mention that the picture quality is good, with no significant loss. The tone is not overly enthusiastic or critical, making the sentiment neutral. The user is simply sharing their honest opinion about the product's features and quality.",arkadaşlar ürün gayet güzel yumuşak bir dokunma hissi var benim hoşuma gitti parmak izi kalmıyor ve görüntü kalitesinde de çok fazla bir kayıp olmuor
Notr,Notr,Notr,Notr,"**0** This tweet is neutral. It's a simple statement explaining a concept, ""Buna üstün lineer hızlanma denir,"" which translates to ""This is called superior linear acceleration."" There are no emotional cues or opinions expressed. 
","0 
This tweet is neutral as it simply defines the term ""linear acceleration"" without expressing any positive or negative opinion.","**0**

This tweet is neutral because it is a statement of fact, providing a definition of a technical term (""Buna üstün lineer hızlanma denir""). The tone is informative and objective, without any emotional language or subjective opinion.",Buna üstün lineer hızlanma denir .
Negative,Negative,Negative,Negative,"**-1** 

The tweet expresses extreme dissatisfaction with a product. It describes it as noisy, shaky, and poorly cleaned. The tweet also criticizes the service for being unhelpful and uninformed.  The user strongly advises against purchasing this product due to its poor quality and service. 
","-1
The sentiment of this tweet is negative. The user is complaining about the loud and shaky operation of a product, as well as the poor customer service and lack of cleanliness. They recommend not paying the high price for such a bad product.","**-1**

The sentiment of this tweet is negative. The writer expresses frustration and disappointment with the product, mentioning that it is extremely loud and vibrating, reaching a level of 92 db. They also criticize the customer service, saying that the representatives are uninterested and uninformed. Furthermore, the writer complains that the product is not cleaned regularly and that the usage periods keep changing. The tone is strongly admonitory, with the writer warning others not to pay this price for such a poor product.",ürün aşırı sesli ve sarsıntılı 92 db kadar ulaşıyor çalışma sesi servisler de çok ilgisiz  ve bilgisiz sürekli normal denilip  gidiliyor. ayrıca hiç temiz yıkamıyor  sürekli süreleri değişiyor bu kadar kötü ürüne bu fiyatı vermeyin derim.....
Positive,Positive,Positive,Positive,"**+1** The tweet expresses positive sentiment about Braun products, specifically their epilators and hair stylers. The words ""kaliteli"" (high quality) and ""kolay"" (easy) convey a sense of satisfaction and approval.  
","+1
The sentiment of the tweet is positive. The user is praising the Braun brand for being both high quality and easy to use in their epilators and hair styling tools.","**+1**

The sentiment of this tweet is positive. The tweeter expresses admiration for Braun's products, stating that they are ""hem kaliteli"" (high-quality) and ""hiç de kullanıımı difícil"" (very easy to use), indicating satisfaction and praise for the product's performance. The language used is also enthusiastic, with words like ""başarılı"" (successful), which reinforces the positive tone of the tweet.",hem kaliteli hem de kullanımı kolay braun hem epilasyon cihazı serisinde hem de saç şekillendiricilerinde oldukça başarılı..
Notr,Notr,Notr,Notr,"**0** 

The tweet translates to ""It was designed to work for five years."" This statement is factual and does not express any positive or negative emotions. Therefore, it is considered neutral. 
","0 The sentiment of the tweet is neutral. It appears to be a statement about something being designed to work for five years, without any indication of positive or negative emotion attached.","**0** (neutral)

The tweet does not contain any emotive language, nor does it express a clear positive or negative opinion. The phrase "" Beş yıl çalışacak şekilde tasarlanmıştı"" means ""It was designed to work for 5 years"" and seems to be a factual statement about the design purpose of a product or system. The tone is informative and objective, hence neutral.",Beş yıl çalışacak şekilde tasarlanmıştı .
Positive,Positive,Positive,Positive,"**+1** 

The tweet expresses positive sentiment towards a toaster. The emojis ""))))"" indicate happiness and satisfaction. The phrase ""daha ne olsun"" translates to ""what more could you ask for"" further reinforcing the positive sentiment.  The overall message suggests the user is pleased with the toaster's performance. 
","+1 
This tweet has a positive sentiment. The use of ""daha ne olsun"" (what more could you ask for) and "":))))"" emojis indicate satisfaction and happiness with the performance of the toaster, recommending it to others.","**+1**

This tweet expresses a positive sentiment. The phrase ""daha ne olsun :))))"" is a playful way of saying ""what else could it do?"" and the winking face ( :) ) conveys a sense of excitement and enthusiasm. The speaker is expressing satisfaction and recommending the product (""tavsiye ederim"" means ""I recommend""). The overall tone is lighthearted, cheerful, and encouraging, which suggests a positive sentiment.",bir tost makinesinden ne bekliyorsanız yapıyor daha ne olsun :)))) tavsiye ederim
Positive,Positive,Notr,Positive,"**+1** The tweet expresses positive sentiment using words like ""iyi"" (good) and ""güzel"" (beautiful), and the smiley face indicates happiness. 
","+1 
This tweet expresses a positive sentiment. The user indicates that they recently bought something and that it is good and nice for now. The use of ""iyi"" (good) and ""güzel"" (nice) convey positive feelings about the purchase.","**0**

The tweet is written in Turkish, but even without translation, the tone appears to be neutral. The use of the phrase ""şimdilik"" (which means ""for now"" or ""so far"") and the smiling face emoji :) suggest a sense of cautious optimism, but not enough to be classified as positive. There's no strong language or overt emotion expressed, which keeps the sentiment neutral.",yeni aldım iyi  güzel şimdilik :)
Negative,Notr,Positive,Positive,"**-1** The tweet expresses a positive sentiment, praising the product's length, rubber coating, and charging speed. The use of words like ""saglam"" (strong) and ""iyi"" (good) indicate a positive opinion. 
","0 

This tweet appears to be neutral as it describes features of a product without expressing a positive or negative opinion.","**+1**

The sentiment of this tweet is positive. The word ""kırınüyor"" which means ""looks very strong"" and the phrase ""cok saglam gıbı gorunuyor"" which means ""it looks very strong"" both convey a sense of satisfaction and positivity. Additionally, the word ""ıyı"" which means ""good"" in the phrase ""sarj etme suresı cok ıyı"" which means ""the charging time is very good"", further reinforces the positive sentiment. Overall, the tone of the tweet is optimistic and encouraging.",2 metre uzunlugu ve uzerıdne kaucuk kaplaması var cok saglam gıbı gorunuyor sarj etme suresı cok ıyı 
Notr,Notr,Negative,Notr,"**0** 

The tweet is neutral. It simply states a fact about a government appointment. There are no opinions or emotional cues expressed. 
","0 
This tweet is neutral as it simply states a fact without expressing any particular positive or negative opinion.","**-1**

The sentiment of this tweet is negative. The word ""getirildi"" which means ""has been appointed"" or ""has been brought"" is often used in a negative context to imply imposition or sudden action. The tweet announces the appointment of Muammer Güler as the new Governor of Istanbul, but the tone is likely to be viewed as negative by the audience, especially if they are not pleased with the decision or do not have a positive opinion of Güler.",Yerine İstanbul eski Valisi ve Ak Parti Mardin milletvekili Muammer Güler getirildi .
Positive,Positive,Notr,Positive,"**+1** 

The tweet expresses positive sentiment towards the G710+ mechanical keyboard. The user highlights its high material quality, craftsmanship, reasonable price, good key feedback, and comfortable ergonomics. The tweet also mentions that the user enjoys using it for writing at work, further reinforcing the positive sentiment. 
","+1
The sentiment of the tweet is positive. The user is praising the mechanical keyboard they are using (g710+), mentioning its good build quality, craftsmanship, affordable price, successful key feedback, and ergonomic design. They express difficulty in going back to using a regular keyboard after experiencing the benefits of this one.","**0**

The sentiment of this tweet is neutral. The author mentions both positive and negative aspects of the G710+ keyboard. They mention that it's difficult to go back to a mechanical keyboard after using the G710+, implying a positive sentiment. They also praise the material quality, workmanship, price, feedback from the keys, and ergonomic design. However, they also mention that it's difficult to go back to it, which implies a negative sentiment. The overall tone is more positive than negative, but the tweet does not convey a strong positive or negative emotion, hence a neutral score of 0.",bir kez mekanik klavye kullandiktan sonra geri donmek zor. g710+ malzeme kalitesi ve iscilik olarak gayet iyi. fiyati muadillerine gore uygun. tuslarin geri bildirimi basarili. kalvye ergonomisi basarili. ofiste yazi yazmak icin kullaniyorum. 
Notr,Notr,Notr,Notr,"**0**

The tweet is neutral. It simply states a fact about processor classification, without expressing any opinion or emotion. 
","0

This tweet is neutral as it simply states that processor classification can be done in many different ways without expressing any positive or negative opinion.","**0** (Neutral)

The tweet is a statement about the categorization of processors, providing a factual information about the different ways they can be classified. The language used is straightforward and lacks emotional tone, making it a neutral statement with no discernible sentiment.",İşlemci sınıflandırması birçok farklı duruma göre yapılabilir .
Negative,Positive,Notr,Positive,"**-1** 

The tweet starts by expressing worry (""tedirgin olmuştum"") due to the reviews, but then concludes with a positive sentiment (""iyi ki de almışım,"" ""kaliteli,"" ""tavsiyedir"").  The initial negativity outweighs the positive sentiment, making the overall sentiment negative. 
","+1 
The sentiment of the tweet is positive. The user initially felt worried after reading comments but ultimately expresses relief and satisfaction with their purchase, stating that the product is of good quality and recommending it to others.","**0**

The sentiment of this tweet is neutral. The tweet expresses a mixture of emotions, starting with a negative phrase ""çok tedirgin olmuştum"" which means ""I was very worried"", implying that the author was concerned about something. However, the tweet then takes a positive turn with the phrase ""iyi ki de almışım"" which means ""good thing I got it"", indicating that the author is happy with their purchase. The tweet then concludes with a recommendation to others, which is a positive statement. Overall, the sentiment is neutral because it expresses both positive and negative emotions.",yorumları okuyup çok tedirgin olmuştum ama iyi ki de almışım hızlı kargo ürün gayet kaliteli almak isteyenler için tavsiyedir.
Negative,Negative,Negative,Notr,"**-1**

The tweet expresses a negative sentiment as it describes a situation where a woman (gelin) loses both her husband and her lover. This implies sadness, loss, and potentially betrayal, all of which contribute to a negative emotional tone. 
","-1
This tweet expresses a negative sentiment as it mentions losing both a husband and a lover, indicating a sense of loss or heartbreak.","**-1**

The sentiment of this tweet is negative. The phrase ""kocasını hem sevgilisini kaybetmiştir"" translates to ""has lost both her husband and her lover"", which implies a sense of loss, tragedy, and possibly even despair. The tweet does not contain any phrases that would indicate a positive or neutral tone, and the focus on loss and heartbreak suggests a strong negative sentiment.",Gelin ise hem kocasını hem sevgilisini kaybetmiştir .
Notr,Notr,Notr,Notr,"**0** 

The tweet simply states a fact that two people, presumably siblings, use something together. There is no indication of positive or negative sentiment. 
","0 
This tweet is neutral as it simply states that something is used together with a sibling. There is no positive or negative connotation implied. ","**0** (Neutral)

This tweet does not convey any clear sentiment, as it simply states that people use something with their sibling. The language is factual and lacks emotional tone, making it neutral in sentiment.",Kardeşiyle beraber kullanırlar .
Notr,Notr,Notr,Notr,"**0** 

The tweet provides factual information about Kylie, stating she is a ""famous American young television personality and model."" It does not express any opinion or judgment about her, making it neutral. 
","0 The sentiment of the tweet is neutral. It simply states that Kylie is a popular American young television personality and model, without expressing any positive or negative emotions.","Score: **0**

The sentiment of this tweet is neutral. The text is a straightforward statement of factual information, providing a definition of Kylie (likely referring to Kylie Jenner) and describing her occupation as a American young television personality and model. There is no emotion or opinion expressed in the tweet, which is a characteristic of neutral sentiment.",Kylie de ailedeki diğer kişiler gibi ünlü Amerikalı genç televizyon kişiliği ve modeldir .
Positive,Positive,Positive,Positive,"**+1**

The tweet expresses overwhelmingly positive sentiment. The user clearly recommends the product, highlighting its good features like sound quality, noise reduction, and value for money. Even the mention of the earcups being ""not great"" is softened by the fact that they are replaceable and the user overall is still pleased with the purchase. The fast shipping is also mentioned as a positive point. 
","+1

This tweet expresses a positive sentiment about the product. The user mentions that they purchased the product without hesitation and that it has excellent sound quality, features, and noise cancellation. They also mention that they liked the mod feature and recommend the product for those looking for high performance at a mid-range price. Additionally, they praise the fast delivery of the product. Overall, the sentiment conveyed in the tweet is positive.","**+1**

The sentiment of this tweet is overwhelmingly positive. The user expresses satisfaction with the product's sound quality, features, and noise reduction, stating that it is very good and provides a rich sound. They also mention that the mic is not bad and that the mode feature is something they liked. Additionally, they mention that the shipping was very fast. The user's tone is enthusiastic and encouraging, recommending others to order the product without hesitation if they want high performance at a mid-range price.","tereddüt etmeden aldım. yorumlar gerçekten doğru ürün çok iyi. ses kalitesi, özellikleri, gürültüyü azaltıp sesi yoğun veriyor olması çok daha iyi. kulaklik çok iyi değil ama kotude değil. nihayetinde değiştirilebilir. mod özelliğini sevdim. orta fiyatli bir urunden yüksek performans almak istiyorsanız, düşünmeden sipariş verin derim. ayrıca kargomda çok hızlı geldi."
Positive,Notr,Notr,Positive,"**+1**

The tweet expresses positive sentiment towards the product. The user describes it as ""stylish"" and says they ""love using it"". They also provide detailed instructions on how to use the product, suggesting they are happy with it and want to share their experience. 
","0 The tweet is neutral as the user is providing tips on how to use a specific product, without expressing a strongly positive or negative sentiment.","**0**

The sentiment of this tweet is neutral. The user is stating their experience with a product, expressing a positive sentiment by saying they ""severelessly use"" the product and giving a recommendation to others. However, the tone is more informative and matter-of-fact rather than enthusiastic or emotional, which keeps the sentiment from being overly positive. The user is simply sharing their experience and offering advice, without any strong emotional language or emotional triggers.","gayet şık bir ürün severek kullanıyorum,tavsiyem köpüklü olmasını istiyorsanız, bu hazır kahve makinalarında,taşmadan hafif kıpırdanmada hemen alın,ve bi karıştırıp dökün,bu arada bi fincana tepeleme 1 tatlıkaşığı kahve koyuyorum ,iyice karıştırıp makinayı açıyorum."
Negative,Negative,Negative,Negative,"**-1** 

The tweet expresses negative sentiment towards Angelina Jolie and the film in question. The words ""sıkıcı"" (boring) and ""saçma"" (absurd) are clear indicators of negativity, and the statement that Jolie is ""heading towards a low point in her career"" reinforces this. 
","-1

The sentiment of the tweet is negative. The user finds the movie boring and somewhat silly, and feels that Angelina Jolie's career is heading towards a low point.","**-1**

The sentiment of this tweet is negative. The user describes the film as ""sıkıcı"" (boring) and ""saçma"" (ridiculous), indicating a strong dislike or disappointment with the movie. Additionally, the user believes that Angelina Jolie's career is taking a downturn with this film, further emphasizing the negative sentiment.", Sıkıcı ve birazda saçma. Bence Angelina Julie bu filmle kariyerinde bir dip noktaya doğru yol almaya başladı. 
Positive,Positive,Positive,Positive,"**+1** 

The tweet expresses strong positive sentiment towards David Fincher's style and filmmaking. The user praises his intelligence, talent, and ability to create unforgettable films.  
","+1  
The sentiment of the tweet is clearly positive. The author expresses admiration for Ben David Fincher's style and praises his films as very good and memorable. The use of words like ""zekasını"" (intelligence) and ""mükemmel işler"" (excellent works) further emphasize the positive sentiment.","**+1**

The sentiment of this tweet is overwhelmingly positive. The user expresses enthusiasm and admiration for David Fincher's style and his films, calling them ""really good"" and stating that he brings his intelligence and talent to each film, making them ""perfect"" works. The user also implies that the film being referred to is exceptional and memorable, saying it's ""one of those ones... that will never be forgotten"". The language used is optimistic and celebratory, with no negative comments or criticisms.", ben david fincherın tarzını çok beğeniyorum.yaptığı filmler gerçekten de bayağı iyi. adam her filminde zekasını ve yeteneğini biraraya getirerek mükemmel işler yapıyor.bu filmde onlardan biri...hiç unutulmayacak filmlerden biri belkide.. 
Positive,Positive,Positive,Positive,"**+1**  This tweet expresses a positive sentiment, with ""süper"" being a Turkish word meaning ""super"" or ""amazing"". This indicates the user is happy with the product. 
","+1
This tweet expresses a positive sentiment towards the product, describing it as ""super.""","**+1**

The sentiment of this tweet is positive. The use of ""süper"" (super) as an adjective to describe the product implies that the user is highly satisfied or impressed with it, which is a strong positive sentiment.",süper ürün 
Notr,Notr,Notr,Notr,"**0** 

The tweet is a factual statement about the formation of ocean crust. There is no emotional connotation or subjective opinion expressed. 
","0 

This tweet is neutral as it simply states a fact about the formation of oceanic crust.","**0**

The tweet is stating a neutral fact, explaining how an ocean crust forms. There is no emotional tone, positive or negative sentiment expressed in the tweet, it's a straightforward scientific statement.",Bununla birlikte okyanus kabuk oluşur .
Positive,Positive,Positive,Positive,"**+1**  The tweet expresses positive sentiment. The user explicitly states that the product is ""güzel"" (beautiful) and that the size fit perfectly. The phrase ""tavsiye ederim"" (I recommend it) further reinforces the positive sentiment. 
","+1
The sentiment of the tweet is positive. The user is recommending a product they ordered in size M and are satisfied with it.","**+1**

The sentiment of this tweet is positive. The user expresses satisfaction with a product they purchased, mentioning that it arrived promptly (""tam geldi"") and that they would recommend it (""tavsiye ederim""). The tone is enthusiastic and recommends the product to others, indicating a positive experience.",güzel bir ürün kıyafetlerimde m beden giyen biri olarak m beden sipariş verdim tam geldi tavsiye ederim
